PROBE_ID	ENTREZ_GENE_ID	SYMBOL
ILMN_1684271	84320	ACBD6
ILMN_1726388	414149	ACBD7
ILMN_2106002	414149	ACBD7
ILMN_1779685	40	ACCN1
ILMN_1665932	40	ACCN1
ILMN_1769694	41	ACCN2
ILMN_1727251	41	ACCN2
ILMN_1734479	9311	ACCN3
ILMN_2368728	9311	ACCN3
ILMN_2394897	55515	ACCN4
ILMN_2394902	55515	ACCN4
ILMN_2287535	55515	ACCN4
ILMN_1750295	51802	ACCN5
ILMN_3187680	84680	ACCS
ILMN_3242266	390110	ACCSL
ILMN_1780630	390110	ACCSL
ILMN_1716480	65057	ACD
ILMN_1715192	1636	ACE
ILMN_2339410	1636	ACE
ILMN_1779984	1636	ACE
ILMN_1667018	59272	ACE2
ILMN_1773243	125981	ACER1
ILMN_3241214	125981	ACER1
ILMN_3235340	340485	ACER2
ILMN_1761000	340485	ACER2
ILMN_3237774	55331	ACER3
ILMN_2333219	43	ACHE
ILMN_1780485	43	ACHE
ILMN_1735471	43	ACHE
ILMN_1699636	22985	ACIN1
ILMN_2371379	47	ACLY
ILMN_1749014	47	ACLY
ILMN_1727091	130013	ACMSD
ILMN_1771348	57001	ACN9
ILMN_2134039	57001	ACN9
ILMN_1750800	48	ACO1
ILMN_1654861	50	ACO2
ILMN_2121389	641371	ACOT1
ILMN_1715543	641371	ACOT1
ILMN_1739594	26027	ACOT11
ILMN_2353978	26027	ACOT11
ILMN_1785474	134526	ACOT12
ILMN_2188959	10965	ACOT2
ILMN_1716237	10965	ACOT2
ILMN_1764321	122970	ACOT4
ILMN_2156699	641372	ACOT6
ILMN_1784756	11332	ACOT7
ILMN_1728883	11332	ACOT7
ILMN_1740265	11332	ACOT7
ILMN_1788078	11332	ACOT7
ILMN_2252621	11332	ACOT7
ILMN_2332250	11332	ACOT7
ILMN_1719178	11332	ACOT7
ILMN_1679600	10005	ACOT8
ILMN_2367070	23597	ACOT9
ILMN_1658995	23597	ACOT9
ILMN_1750158	51	ACOX1
ILMN_1668839	51	ACOX1
ILMN_1765767	51	ACOX1
ILMN_1685703	8309	ACOX2
ILMN_1743396	8310	ACOX3
ILMN_1743680	55289	ACOXL
ILMN_1669633	52	ACP1
ILMN_2344956	52	ACP1
ILMN_2104830	53	ACP2
